Id,ActivityDate,Day_of_week,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,SedentaryHours,Calories,BMI,,,,,,,
8877689391,01/05/2016,domingo,36019,28.03000069,28.03000069,0,21.92000008,4.190000057,1.909999967,0.02,186,63,171,1020,17,2690,25.68000031,,,,,,,
8877689391,16/04/2016,sábado,29326,25.29000092,25.29000092,0,13.23999977,1.210000038,10.71000004,0,94,29,429,888,14.8,4547,25.40999985,Etiquetas de fila,Promedio de TotalSteps,Suma de VeryActiveMinutes,Suma de LightlyActiveMinutes,Suma de FairlyActiveMinutes,Suma de SedentaryMinutes,Promedio de SedentaryHours
8877689391,30/04/2016,sábado,27745,26.71999931,26.71999931,0,21.65999985,0.079999998,4.929999828,0,124,4,223,1089,18.15,4398,25.30999947,domingo,6933.231405,2418,21051,1758,119821,16.50426997
8877689391,27/04/2016,miércoles,23629,20.64999962,20.64999962,0,13.06999969,0.439999998,7.099999905,0,93,8,235,1104,18.4,3808,25.59000015,lunes,7780.866667,2773,23047,1680,123353,17.13236111
8877689391,12/04/2016,martes,23186,20.39999962,20.39999962,0,12.22000027,0.340000004,7.820000172,0,85,7,312,1036,17.26666667,3921,25.68000031,martes,8125.006579,3489,29996,2179,153119,16.78936404
8877689391,24/04/2016,domingo,22988,17.95000076,17.95000076,0,13.13000011,1.549999952,3.25999999,0,129,33,182,1096,18.26666667,3577,25.53000069,miércoles,7559.373333,3117,28478,1965,148422,16.49133333
8877689391,07/05/2016,sábado,22770,17.54000092,17.54000092,0,9.449999809,2.769999981,5.329999924,0,120,56,260,508,8.466666667,4022,25.40999985,jueves,7456.561644,2853,27257,1758,139973,15.97865297
8877689391,23/04/2016,sábado,22359,17.19000053,17.19000053,0,12.53999996,0.629999995,4.019999981,0,125,14,223,741,12.35,3554,25.29000092,viernes,7448.230159,2527,25729,1526,126039,16.6718254
8877689391,16/04/2016,sábado,22244,15.07999992,15.07999992,0,5.449999809,4.099999905,5.53000021,0,66,72,268,968,16.13333333,2670,25.59000015,sábado,8152.975806,2718,25686,1885,119571,16.07137097
8877689391,08/05/2016,domingo,22026,17.64999962,17.64999962,0,13.39999962,0.589999974,3.660000086,0,125,14,228,1073,17.88333333,3589,25.59000015,(en blanco),0,0,0,0,1440,24
8877689391,06/05/2016,viernes,21727,19.34000015,19.34000015,0,12.78999996,0.289999992,6.159999847,0,96,17,232,1095,18.25,4015,25.55999947,Total general,7637.910638,19895,181244,12751,931738,16.5201773
8877689391,11/05/2016,miércoles,21420,19.55999947,19.55999947,0,13.22000027,0.409999996,5.889999866,0,88,12,213,1127,18.78333333,3832,25.48999977,,,,,,,
8877689391,14/04/2016,jueves,21129,18.97999954,18.97999954,0,10.55000019,0.589999974,7.75,0.02,68,13,298,1061,17.68333333,3793,25.55999947,,,,,,,
8877689391,15/04/2016,viernes,20669,16.23999977,16.23999977,0,13.26000023,0.389999986,2.589999914,0,132,8,158,1142,19.03333333,3410,25.48999977,,,,,,,
8877689391,25/04/2016,lunes,20500,15.68999958,15.68999958,0,11.36999989,0.460000008,3.859999895,0,118,9,209,1104,18.4,3403,25.40999985,,,,,,,
8877689391,09/05/2016,lunes,20226,18.25,18.25,0,11.10000038,0.800000012,6.239999771,0.050000001,73,19,217,1131,18.85,3710,25.59000015,,,,,,,
8877689391,14/04/2016,jueves,20159,15.97000027,15.97000027,0,12.34000015,0.209999993,3.359999895,0,119,5,193,1123,18.71666667,3411,25.53000069,,,,,,,
8877689391,29/04/2016,viernes,20067,14.30000019,13.42000008,4.911146164,4.309999943,2.049999952,7.949999809,0,55,42,382,961,16.01666667,3180,25.40999985,,,,,,,
8877689391,23/04/2016,sábado,20031,13.23999977,13.23999977,0,4.199999809,2,7.039999962,0,58,41,347,484,8.066666667,2571,25.26000023,,,,,,,
8877689391,20/04/2016,miércoles,19948,18.11000061,18.11000061,0,11.02000046,0.689999998,6.340000153,0,73,19,225,1123,18.71666667,3679,25.44000053,,,,,,,
8877689391,07/05/2016,sábado,19769,15.67000008,15.67000008,0,12.43999958,0.879999995,2.349999905,0,121,20,148,1076,17.93333333,3331,25.55999947,,,,,,,
8877689391,21/04/2016,jueves,19542,15.01000023,15.01000023,0,0.980000019,0.400000006,5.619999886,0,11,19,294,579,9.65,4900,25.61000061,,,,,,,
8877689391,21/04/2016,jueves,19377,17.62000084,17.62000084,0,12.28999996,0.419999987,4.889999866,0,82,13,226,1119,18.65,3659,25.55999947,,,,,,,
8877689391,17/04/2016,domingo,18827,13.68999958,13.68999958,0,9.239999771,0.800000012,3.640000105,0,111,21,195,1113,18.55,3213,25.13999939,,,,,,,
8877689391,19/04/2016,martes,18785,17.39999962,17.39999962,0,12.14999962,0.180000007,5.03000021,0,82,13,214,1131,18.85,3676,#N/A,,,,,,,
8877689391,30/04/2016,sábado,18387,12.90999985,12.90999985,0,0.939999998,1.399999976,10.56999969,0,13,23,361,1043,17.38333333,2732,#N/A,,,,,,,
8877689391,22/04/2016,viernes,18258,16.30999947,16.30999947,0,10.22999954,0.029999999,5.96999979,0.050000001,61,2,236,1141,19.01666667,3427,#N/A,,,,,,,
8877689391,25/04/2016,lunes,18229,13.34000015,12.19999981,4.861792088,4.309999943,1.370000005,7.670000076,0,51,24,379,986,16.43333333,3055,#N/A,,,,,,,
8877689391,30/04/2016,sábado,18213,13.23999977,13.23999977,0,0.629999995,3.140000105,9.460000038,0,9,71,402,816,13.6,3846,#N/A,,,,,,,
8877689391,04/05/2016,miércoles,18193,16.29999924,16.29999924,0,10.42000008,0.310000002,5.53000021,0,66,8,212,1154,19.23333333,3477,#N/A,,,,,,,
8877689391,27/04/2016,miércoles,18134,12.21000004,12.21000004,0,6.400000095,0.409999996,5.409999847,0,78,11,243,1108,18.46666667,2159,#N/A,,,,,,,
8792009665,17/04/2016,domingo,0,0,0,0,0,0,0,0,0,0,0,1440,24,1688,#N/A,,,,,,,
8792009665,18/04/2016,lunes,0,0,0,0,0,0,0,0,0,0,0,1440,24,1688,#N/A,,,,,,,
8792009665,19/04/2016,martes,0,0,0,0,0,0,0,0,0,0,0,1440,24,1688,#N/A,,,,,,,
8792009665,25/04/2016,lunes,0,0,0,0,0,0,0,0,0,0,0,1440,24,1688,#N/A,,,,,,,
8792009665,05/05/2016,jueves,0,0,0,0,0,0,0,0,0,0,0,1440,24,1688,#N/A,,,,,,,
8792009665,06/05/2016,viernes,0,0,0,0,0,0,0,0,0,0,0,1440,24,1688,#N/A,,,,,,,
8792009665,07/05/2016,sábado,0,0,0,0,0,0,0,0,0,0,0,1440,24,1688,#N/A,,,,,,,
8792009665,08/05/2016,domingo,0,0,0,0,0,0,0,0,0,0,0,1440,24,1688,#N/A,,,,,,,
8792009665,09/05/2016,lunes,0,0,0,0,0,0,0,0,0,0,0,1440,24,1688,#N/A,,,,,,,
8792009665,10/05/2016,martes,0,0,0,0,0,0,0,0,0,0,0,48,0.8,57,#N/A,,,,,,,
8792009665,12/04/2016,martes,18060,14.11999989,14.11999989,0,11.64000034,0.389999986,2.099999905,0,116,8,123,1193,19.88333333,3186,#N/A,,,,,,,
8792009665,08/05/2016,domingo,17298,14.38000011,14.38000011,0,9.890000343,1.25999999,3.230000019,0,107,38,178,576,9.6,3934,#N/A,,,,,,,
8792009665,18/04/2016,lunes,17076,12.65999985,12.65999985,0,9.079999924,0.230000004,3.349999905,0,102,6,195,1137,18.95,3133,#N/A,,,,,,,
8792009665,14/04/2016,jueves,17022,11.11999989,11.11999989,0,4,2.450000048,4.670000076,0,61,41,256,693,11.55,2324,#N/A,,,,,,,
8792009665,23/04/2016,sábado,16901,11.36999989,11.36999989,0,2.779999971,1.450000048,7.150000095,0,32,35,360,591,9.85,2629,#N/A,,,,,,,
8792009665,24/04/2016,domingo,16674,15.73999977,15.73999977,0,11.01000023,0.01,4.690000057,0,64,1,227,1148,19.13333333,3455,#N/A,,,,,,,
8792009665,15/04/2016,viernes,16556,10.85999966,10.85999966,0,4.159999847,1.980000019,4.710000038,0,58,38,239,689,11.48333333,2254,#N/A,,,,,,,
8792009665,02/05/2016,lunes,16520,11.05000019,11.05000019,0,1.539999962,6.480000019,3.019999981,0,24,143,176,713,11.88333333,1760,#N/A,,,,,,,
8792009665,13/04/2016,miércoles,16433,13.35000038,13.35000038,0,10.43000031,0.469999999,2.450000048,0,95,12,156,1177,19.61666667,3140,#N/A,,,,,,,
8792009665,10/05/2016,martes,16358,10.71000004,10.71000004,0,3.869999886,1.610000014,5.199999809,0,61,40,265,707,11.78333333,2335,#N/A,,,,,,,
8792009665,26/04/2016,martes,16208,12.85000038,12.85000038,0,7.510000229,0.920000017,4.420000076,0,90,18,161,593,9.883333333,3763,#N/A,,,,,,,
8792009665,21/04/2016,jueves,16057,12.51000023,12.51000023,0,9.670000076,0.25,2.579999924,0,100,6,170,1164,19.4,3103,#N/A,,,,,,,
8792009665,19/04/2016,martes,15929,12.47999954,12.47999954,0,9.220000267,0.310000002,2.950000048,0,90,7,191,1152,19.2,3114,#N/A,,,,,,,
8792009665,24/04/2016,domingo,15764,11.77999973,11.77999973,0,7.650000095,2.150000095,1.980000019,0,210,65,141,425,7.083333333,4392,#N/A,,,,,,,
8792009665,20/04/2016,miércoles,15566,11.31000042,10.40999985,4.924840927,4.789999962,0.670000017,5.860000134,0,60,33,347,1000,16.66666667,3096,#N/A,,,,,,,
8792009665,19/04/2016,martes,15506,9.880000114,9.880000114,0,3.529999971,1.320000052,5.03000021,0,50,31,264,775,12.91666667,2035,#N/A,,,,,,,
8792009665,03/05/2016,martes,15484,11.89999962,11.89999962,0,8.390000343,0.930000007,2.589999914,0,87,22,165,1166,19.43333333,3023,#N/A,,,,,,,
